author_id,created_at,text,tokens,filtered_tokens,stemmed_text,term,cluster
joontriever,2025-04-09T03:24:09.000Z,buat wni yang belum bisa ikutan kaburajadulu,"buat, wni, yang, belum, bisa, ikutan, kaburajadulu","wni, ikutan, kaburajadulu",buat wni yang belum bisa ikut kaburajadulu,"buat,wni,yang,belum,bisa,ikut,kaburajadulu",0
cindercella____,2025-03-31T12:13:58.000Z,"Orang Gereja kami juga bahas #KaburAjaDulu   Awalnya muji muji anakku pinter boso enggres, katanya nanti bisa buat salah satu modal buat #KaburAjaDulu ","Orang, Gereja, kami, juga, bahas, #, KaburAjaDulu, Awalnya, muji, muji, anakku, pinter, boso, enggres, ,, katanya, nanti, bisa, buat, salah, satu, modal, buat, #, KaburAjaDulu","Orang, Gereja, bahas, #, KaburAjaDulu, muji, muji, anakku, pinter, boso, enggres, ,, salah, modal, #, KaburAjaDulu",orang gereja kami juga bahas kaburajadulu awal muji muji anak pinter boso enggres kata nanti bisa buat salah satu modal buat kaburajadulu,"orang,gereja,kami,juga,bahas,kaburajadulu,awal,muji,muji,anak,pinter,boso,enggres,kata,nanti,bisa,buat,salah,satu,modal,buat,kaburajadulu",1
cmdr_hellstorm,2025-04-08T07:56:55.000Z,Wew... Temen gw yg #kaburajadulu ke sana ini termasuk beruntung banget yah bisa punya lebih dari 1 rumah. ,"Wew, ..., Temen, gw, yg, #, kaburajadulu, ke, sana, ini, termasuk, beruntung, banget, yah, bisa, punya, lebih, dari, 1, rumah, .","Wew, ..., Temen, gw, yg, #, kaburajadulu, beruntung, banget, yah, 1, rumah, .",wew temen gw yg kaburajadulu ke sana ini masuk untung banget yah bisa punya lebih dari 1 rumah,"wew,temen,gw,yg,kaburajadulu,ke,sana,ini,masuk,untung,banget,yah,bisa,punya,lebih,dari,1,rumah",0
sansansansanya,2025-04-08T03:59:32.000Z,Sumpah ni org kayak otaknya ud ikut trend kaburajadulu sbnrnya,"Sumpah, ni, org, kayak, otaknya, ud, ikut, trend, kaburajadulu, sbnrnya","Sumpah, ni, org, kayak, otaknya, ud, trend, kaburajadulu, sbnrnya",sumpah ni org kayak otak ud ikut trend kaburajadulu sbnrnya,"sumpah,ni,org,kayak,otak,ud,ikut,trend,kaburajadulu,sbnrnya",1
acengimam,2025-04-08T01:35:47.000Z,"1001 jalan menuju Jerman; sebuah utas.  1) Halo temen-temen, ditengah ketidakpastian ekonomi global yang lagi naik-turun kayak roller coaster. dollar melambung, banyak PHK, lapangan kerja makin ketat, gaji kadang bikin hati miris. Tagar #kaburajadulu terasa makin relevan","1001, jalan, menuju, Jerman, ;, sebuah, utas, ., 1, ), Halo, temen-temen, ,, ditengah, ketidakpastian, ekonomi, global, yang, lagi, naik-turun, kayak, roller, coaster, ., dollar, melambung, ,, banyak, PHK, ,, lapangan, kerja, makin, ketat, ,, gaji, kadang, bikin, hati, miris, ., Tagar, #, kaburajadulu, terasa, makin, relevan","1001, jalan, Jerman, ;, utas, ., 1, ), Halo, temen-temen, ,, ditengah, ketidakpastian, ekonomi, global, naik-turun, kayak, roller, coaster, ., dollar, melambung, ,, PHK, ,, lapangan, kerja, ketat, ,, gaji, kadang, bikin, hati, miris, ., Tagar, #, kaburajadulu, relevan",1001 jalan tuju jerman buah utas 1 halo temen-temen tengah ketidakpastian ekonomi global yang lagi naik-turun kayak roller coaster dollar lambung banyak phk lapang kerja makin ketat gaji kadang bikin hati miris tagar kaburajadulu asa makin relevan,"1001,jalan,tuju,jerman,buah,utas,1,halo,temen-temen,tengah,ketidakpastian,ekonomi,global,yang,lagi,naik-turun,kayak,roller,coaster,dollar,lambung,banyak,phk,lapang,kerja,makin,ketat,gaji,kadang,bikin,hati,miris,tagar,kaburajadulu,asa,makin,relevan",0
Kodokodar,2025-04-08T04:17:23.000Z,#kaburajadulu,"#, kaburajadulu","#, kaburajadulu",kaburajadulu,kaburajadulu,1
DisieWang,2025-04-02T13:06:07.000Z,Sesungguhnya visa f2 adalah visa impian kita2 pekerja kaburajadulu ini krn very flexible dan ga bergantung ke perusahaan,"Sesungguhnya, visa, f2, adalah, visa, impian, kita2, pekerja, kaburajadulu, ini, krn, very, flexible, dan, ga, bergantung, ke, perusahaan","Sesungguhnya, visa, f2, visa, impian, kita2, pekerja, kaburajadulu, krn, very, flexible, ga, bergantung, perusahaan",sungguh visa f2 adalah visa impi kita2 kerja kaburajadulu ini krn very flexible dan ga gantung ke usaha,"sungguh,visa,f2,adalah,visa,impi,kita2,kerja,kaburajadulu,ini,krn,very,flexible,dan,ga,gantung,ke,usaha",0
blacksavigny,2025-04-04T06:17:29.000Z,"Wamen tulul, statemennya selalu ngawur: - nyuruh bayar THR padahal status bukan karyawan  - Bilang Sritex akan diselamatkan negara, padahal statusnya pure swasta dan pailit - pernah bilang bakal mundur kalo Sritex pailit - nyuruh yg mau #KaburAjaDulu kabur aja dan jangan balik lg","Wamen, tulul, ,, statemennya, selalu, ngawur, :, -, nyuruh, bayar, THR, padahal, status, bukan, karyawan, -, Bilang, Sritex, akan, diselamatkan, negara, ,, padahal, statusnya, pure, swasta, dan, pailit, -, pernah, bilang, bakal, mundur, kalo, Sritex, pailit, -, nyuruh, yg, mau, #, KaburAjaDulu, kabur, aja, dan, jangan, balik, lg","Wamen, tulul, ,, statemennya, ngawur, :, -, nyuruh, bayar, THR, status, karyawan, -, Bilang, Sritex, diselamatkan, negara, ,, statusnya, pure, swasta, pailit, -, bilang, mundur, kalo, Sritex, pailit, -, nyuruh, yg, #, KaburAjaDulu, kabur, aja, lg",wamen tulul statemennya selalu ngawur - nyuruh bayar thr padahal status bukan karyawan - bilang sritex akan selamat negara padahal status pure swasta dan pailit - pernah bilang bakal mundur kalo sritex pailit - nyuruh yg mau kaburajadulu kabur aja dan jangan balik lg,"wamen,tulul,statemennya,selalu,ngawur,-,nyuruh,bayar,thr,padahal,status,bukan,karyawan,-,bilang,sritex,akan,selamat,negara,padahal,status,pure,swasta,dan,pailit,-,pernah,bilang,bakal,mundur,kalo,sritex,pailit,-,nyuruh,yg,mau,kaburajadulu,kabur,aja,dan,jangan,balik,lg",0
nmonarizqa,2025-04-09T12:04:27.000Z,"Mega nih orang indo banget, #KaburAjaDulu tapi akhirnya #PulangAjaDeh demi keluarga  Sehat2 mb Mega, semoga gaji2 dan sisa tabungannya udah dimanage jadi bisa tercukupi kehidupan retire earlynya","Mega, nih, orang, indo, banget, ,, #, KaburAjaDulu, tapi, akhirnya, #, PulangAjaDeh, demi, keluarga, Sehat2, mb, Mega, ,, semoga, gaji2, dan, sisa, tabungannya, udah, dimanage, jadi, bisa, tercukupi, kehidupan, retire, earlynya","Mega, nih, orang, indo, banget, ,, #, KaburAjaDulu, #, PulangAjaDeh, keluarga, Sehat2, mb, Mega, ,, semoga, gaji2, sisa, tabungannya, udah, dimanage, tercukupi, kehidupan, retire, earlynya",mega nih orang indo banget kaburajadulu tapi akhir pulangajadeh demi keluarga sehat2 mb mega moga gaji2 dan sisa tabung udah dimanage jadi bisa cukup hidup retire earlynya,"mega,nih,orang,indo,banget,kaburajadulu,tapi,akhir,pulangajadeh,demi,keluarga,sehat2,mb,mega,moga,gaji2,dan,sisa,tabung,udah,dimanage,jadi,bisa,cukup,hidup,retire,earlynya",0
tvr_parlemen,2025-04-11T04:44:42.000Z,MAU #KABURAJADULU KE MANA PUN TETAP HARUS LEGAL!! - Sudut Dengar Parlemen,"MAU, #, KABURAJADULU, KE, MANA, PUN, TETAP, HARUS, LEGAL, !, !, -, Sudut, Dengar, Parlemen","#, KABURAJADULU, LEGAL, !, !, -, Sudut, Dengar, Parlemen",mau kaburajadulu ke mana pun tetap harus legal - sudut dengar parlemen,"mau,kaburajadulu,ke,mana,pun,tetap,harus,legal,-,sudut,dengar,parlemen",0
womensfootie_id,2025-04-03T08:29:16.000Z,Ini baru definisi #KaburAjaDulu dalam konteks Futfem Indo ,"Ini, baru, definisi, #, KaburAjaDulu, dalam, konteks, Futfem, Indo","definisi, #, KaburAjaDulu, konteks, Futfem, Indo",ini baru definisi kaburajadulu dalam konteks futfem indo,"ini,baru,definisi,kaburajadulu,dalam,konteks,futfem,indo",1
truthspace_,2025-04-11T01:01:16.000Z,"Bukan hanya di indo ya sulit cari kerja. SELURUH DUNIA.  Kalau  imigran  #KaburAjaDulu mah dimudahin cari kerja disana, warga aslinya malah dibikin sulit  @wannafigh","Bukan, hanya, di, indo, ya, sulit, cari, kerja, ., SELURUH, DUNIA, ., Kalau, imigran, #, KaburAjaDulu, mah, dimudahin, cari, kerja, disana, ,, warga, aslinya, malah, dibikin, sulit, @, wannafigh","indo, ya, sulit, cari, kerja, ., DUNIA, ., imigran, #, KaburAjaDulu, mah, dimudahin, cari, kerja, disana, ,, warga, aslinya, dibikin, sulit, @, wannafigh",bukan hanya di indo ya sulit cari kerja seluruh dunia kalau imigran kaburajadulu mah dimudahin cari kerja sana warga asli malah bikin sulit wannafigh,"bukan,hanya,di,indo,ya,sulit,cari,kerja,seluruh,dunia,kalau,imigran,kaburajadulu,mah,dimudahin,cari,kerja,sana,warga,asli,malah,bikin,sulit,wannafigh",0
kompasmuda,2025-04-09T10:30:37.000Z,"Belakangan ini, tagar-tagar seperti #IndonesiaGelap, #KaburAjaDulu, dan #PeringatanDarurat sedang marak digunakan di berbagai kanal sosial media  #MudaKuliah #AdadiKompas  https://kompas.id/artikel/tagar-ke-tagar-dari-ungkapan-kritis-di-media-sosial-hingga-ajakan-unjuk-rasa-mahasiswa?utm_source=twitter&utm_medium=card&utm_campaign=soc_kompasmuda_polhuk_traffic…","Belakangan, ini, ,, tagar-tagar, seperti, #, IndonesiaGelap, ,, #, KaburAjaDulu, ,, dan, #, PeringatanDarurat, sedang, marak, digunakan, di, berbagai, kanal, sosial, media, #, MudaKuliah, #, AdadiKompas, https, :, //kompas.id/artikel/tagar-ke-tagar-dari-ungkapan-kritis-di-media-sosial-hingga-ajakan-unjuk-rasa-mahasiswa, ?, utm_source=twitter, &, utm_medium=card, &, utm_campaign=soc_kompasmuda_polhuk_traffic…",",, tagar-tagar, #, IndonesiaGelap, ,, #, KaburAjaDulu, ,, #, PeringatanDarurat, marak, kanal, sosial, media, #, MudaKuliah, #, AdadiKompas, https, :, //kompas.id/artikel/tagar-ke-tagar-dari-ungkapan-kritis-di-media-sosial-hingga-ajakan-unjuk-rasa-mahasiswa, ?, utm_source=twitter, &, utm_medium=card, &, utm_campaign=soc_kompasmuda_polhuk_traffic…",belakang ini tagar seperti indonesiagelap kaburajadulu dan peringatandarurat sedang marak guna di bagai kanal sosial media mudakuliah adadikompas https kompas id artikel tagar-ke-tagar-dari-ungkapan-kritis-di-media-sosial-hingga-ajakan-unjuk-rasa-mahasiswa utm source twitter utm medium card utm campaign soc kompasmuda polhuk traffic,"belakang,ini,tagar,seperti,indonesiagelap,kaburajadulu,dan,peringatandarurat,sedang,marak,guna,di,bagai,kanal,sosial,media,mudakuliah,adadikompas,https,kompas,id,artikel,tagar-ke-tagar-dari-ungkapan-kritis-di-media-sosial-hingga-ajakan-unjuk-rasa-mahasiswa,utm,source,twitter,utm,medium,card,utm,campaign,soc,kompasmuda,polhuk,traffic",0
minggudesu,2025-04-09T13:34:21.000Z,"mama ku tinggal di kuwait 1970-an selama 12th, katanya ga enak. skrng kalo mau #KaburAjaDulu ke kuwait jg gak rekomen, dsna lebih parah dr indo, kritik pemerintah dikit aja bisa dicabut kewarganegaraan mu.  sejauh ini ada 42ribu kewarganegaraan yg dicabut selama 6 bulan terakhir.","mama, ku, tinggal, di, kuwait, 1970-an, selama, 12th, ,, katanya, ga, enak, ., skrng, kalo, mau, #, KaburAjaDulu, ke, kuwait, jg, gak, rekomen, ,, dsna, lebih, parah, dr, indo, ,, kritik, pemerintah, dikit, aja, bisa, dicabut, kewarganegaraan, mu, ., sejauh, ini, ada, 42ribu, kewarganegaraan, yg, dicabut, selama, 6, bulan, terakhir, .","mama, ku, tinggal, kuwait, 1970-an, 12th, ,, ga, enak, ., skrng, kalo, #, KaburAjaDulu, kuwait, jg, gak, rekomen, ,, dsna, parah, dr, indo, ,, kritik, pemerintah, dikit, aja, dicabut, kewarganegaraan, mu, ., 42ribu, kewarganegaraan, yg, dicabut, 6, .",mama ku tinggal di kuwait 1970-an lama 12th kata ga enak skrng kalo mau kaburajadulu ke kuwait jg gak rekomen dsna lebih parah dr indo kritik perintah dikit aja bisa cabut kewarganegaraan mu jauh ini ada 42ribu kewarganegaraan yg cabut lama 6 bulan akhir,"mama,ku,tinggal,di,kuwait,1970-an,lama,12th,kata,ga,enak,skrng,kalo,mau,kaburajadulu,ke,kuwait,jg,gak,rekomen,dsna,lebih,parah,dr,indo,kritik,perintah,dikit,aja,bisa,cabut,kewarganegaraan,mu,jauh,ini,ada,42ribu,kewarganegaraan,yg,cabut,lama,6,bulan,akhir",0
piyopikavet,2025-04-06T14:37:09.000Z,Latihan #KaburAjaDulu  Check out my walk on Strava: https://strava.app.link/SymiU0UDlSb,"Latihan, #, KaburAjaDulu, Check, out, my, walk, on, Strava, :, https, :, //strava.app.link/SymiU0UDlSb","Latihan, #, KaburAjaDulu, Check, out, my, walk, on, Strava, :, https, :, //strava.app.link/SymiU0UDlSb",latih kaburajadulu check out my walk on strava https strava app link symiu0udlsb,"latih,kaburajadulu,check,out,my,walk,on,strava,https,strava,app,link,symiu0udlsb",1
KaburAjaDulu,2025-04-06T04:10:14.000Z,ini gak lucu sih menurut gue  makin bikin pengen #kaburajadulu  politisi kok kaya gitu dah  terus banyak juga yang setuju  wkwk  this country is beyond help,"ini, gak, lucu, sih, menurut, gue, makin, bikin, pengen, #, kaburajadulu, politisi, kok, kaya, gitu, dah, terus, banyak, juga, yang, setuju, wkwk, this, country, is, beyond, help","gak, lucu, sih, gue, bikin, pengen, #, kaburajadulu, politisi, kaya, gitu, dah, setuju, wkwk, this, country, is, beyond, help",ini gak lucu sih turut gue makin bikin ken kaburajadulu politis kok kaya gitu dah terus banyak juga yang tuju wkwk this country is beyond help,"ini,gak,lucu,sih,turut,gue,makin,bikin,ken,kaburajadulu,politis,kok,kaya,gitu,dah,terus,banyak,juga,yang,tuju,wkwk,this,country,is,beyond,help",0
diazemine,2025-04-06T09:24:17.000Z,"hahahaha bjir tbtb teteh gue nawarin gue buat kaburajadulu ke jepang. kata dia, dia yg modalin semua2nya. soalnya ponakan cowok gue rencananya mau di kuliahin + kerja di jepang. kalo misalnya ada gue, jadi teteh gue udah ngerasa aman buat lepas ponakan gue karena ada gue disana","hahahaha, bjir, tbtb, teteh, gue, nawarin, gue, buat, kaburajadulu, ke, jepang, ., kata, dia, ,, dia, yg, modalin, semua2nya, ., soalnya, ponakan, cowok, gue, rencananya, mau, di, kuliahin, +, kerja, di, jepang, ., kalo, misalnya, ada, gue, ,, jadi, teteh, gue, udah, ngerasa, aman, buat, lepas, ponakan, gue, karena, ada, gue, disana","hahahaha, bjir, tbtb, teteh, gue, nawarin, gue, kaburajadulu, jepang, ., ,, yg, modalin, semua2nya, ., ponakan, cowok, gue, rencananya, kuliahin, +, kerja, jepang, ., kalo, gue, ,, teteh, gue, udah, ngerasa, aman, lepas, ponakan, gue, gue, disana",hahahaha bjir tbtb teteh gue nawarin gue buat kaburajadulu ke jepang kata dia dia yg modalin semua2nya soal ponakan cowok gue rencana mau di kuliahin kerja di jepang kalo misal ada gue jadi teteh gue udah ngerasa aman buat lepas ponakan gue karena ada gue sana,"hahahaha,bjir,tbtb,teteh,gue,nawarin,gue,buat,kaburajadulu,ke,jepang,kata,dia,dia,yg,modalin,semua2nya,soal,ponakan,cowok,gue,rencana,mau,di,kuliahin,kerja,di,jepang,kalo,misal,ada,gue,jadi,teteh,gue,udah,ngerasa,aman,buat,lepas,ponakan,gue,karena,ada,gue,sana",0
bizewe,2025-04-10T16:02:00.000Z,spent 3 hours in notion ngumpulin resep just in case tbtb #KaburAjaDulu,"spent, 3, hours, in, notion, ngumpulin, resep, just, in, case, tbtb, #, KaburAjaDulu","spent, 3, hours, in, notion, ngumpulin, resep, just, in, case, tbtb, #, KaburAjaDulu",spent 3 hours in notion ngumpulin resep just in case tbtb kaburajadulu,"spent,3,hours,in,notion,ngumpulin,resep,just,in,case,tbtb,kaburajadulu",1
DDiva2020,2025-04-08T07:04:44.000Z,"Sepulangnya dari #kaburajadulu resimen Yordania, orang ini belum pernah naik moda lain selain Helikopter & Pesawat kah?","Sepulangnya, dari, #, kaburajadulu, resimen, Yordania, ,, orang, ini, belum, pernah, naik, moda, lain, selain, Helikopter, &, Pesawat, kah, ?","Sepulangnya, #, kaburajadulu, resimen, Yordania, ,, orang, moda, Helikopter, &, Pesawat, kah, ?",pulang dari kaburajadulu resimen yordania orang ini belum pernah naik moda lain selain helikopter pesawat kah,"pulang,dari,kaburajadulu,resimen,yordania,orang,ini,belum,pernah,naik,moda,lain,selain,helikopter,pesawat,kah",1
piyopikavet,2025-04-06T14:37:09.000Z,Latihan #KaburAjaDulu  Check out my walk on Strava: https://strava.app.link/SymiU0UDlSb,"Latihan, #, KaburAjaDulu, Check, out, my, walk, on, Strava, :, https, :, //strava.app.link/SymiU0UDlSb","Latihan, #, KaburAjaDulu, Check, out, my, walk, on, Strava, :, https, :, //strava.app.link/SymiU0UDlSb",latih kaburajadulu check out my walk on strava https strava app link symiu0udlsb,"latih,kaburajadulu,check,out,my,walk,on,strava,https,strava,app,link,symiu0udlsb",1
KaburAjaDulu,2025-04-06T04:10:14.000Z,ini gak lucu sih menurut gue  makin bikin pengen #kaburajadulu  politisi kok kaya gitu dah  terus banyak juga yang setuju  wkwk  this country is beyond help,"ini, gak, lucu, sih, menurut, gue, makin, bikin, pengen, #, kaburajadulu, politisi, kok, kaya, gitu, dah, terus, banyak, juga, yang, setuju, wkwk, this, country, is, beyond, help","gak, lucu, sih, gue, bikin, pengen, #, kaburajadulu, politisi, kaya, gitu, dah, setuju, wkwk, this, country, is, beyond, help",ini gak lucu sih turut gue makin bikin ken kaburajadulu politis kok kaya gitu dah terus banyak juga yang tuju wkwk this country is beyond help,"ini,gak,lucu,sih,turut,gue,makin,bikin,ken,kaburajadulu,politis,kok,kaya,gitu,dah,terus,banyak,juga,yang,tuju,wkwk,this,country,is,beyond,help",0
diazemine,2025-04-06T09:24:17.000Z,"hahahaha bjir tbtb teteh gue nawarin gue buat kaburajadulu ke jepang. kata dia, dia yg modalin semua2nya. soalnya ponakan cowok gue rencananya mau di kuliahin + kerja di jepang. kalo misalnya ada gue, jadi teteh gue udah ngerasa aman buat lepas ponakan gue karena ada gue disana","hahahaha, bjir, tbtb, teteh, gue, nawarin, gue, buat, kaburajadulu, ke, jepang, ., kata, dia, ,, dia, yg, modalin, semua2nya, ., soalnya, ponakan, cowok, gue, rencananya, mau, di, kuliahin, +, kerja, di, jepang, ., kalo, misalnya, ada, gue, ,, jadi, teteh, gue, udah, ngerasa, aman, buat, lepas, ponakan, gue, karena, ada, gue, disana","hahahaha, bjir, tbtb, teteh, gue, nawarin, gue, kaburajadulu, jepang, ., ,, yg, modalin, semua2nya, ., ponakan, cowok, gue, rencananya, kuliahin, +, kerja, jepang, ., kalo, gue, ,, teteh, gue, udah, ngerasa, aman, lepas, ponakan, gue, gue, disana",hahahaha bjir tbtb teteh gue nawarin gue buat kaburajadulu ke jepang kata dia dia yg modalin semua2nya soal ponakan cowok gue rencana mau di kuliahin kerja di jepang kalo misal ada gue jadi teteh gue udah ngerasa aman buat lepas ponakan gue karena ada gue sana,"hahahaha,bjir,tbtb,teteh,gue,nawarin,gue,buat,kaburajadulu,ke,jepang,kata,dia,dia,yg,modalin,semua2nya,soal,ponakan,cowok,gue,rencana,mau,di,kuliahin,kerja,di,jepang,kalo,misal,ada,gue,jadi,teteh,gue,udah,ngerasa,aman,buat,lepas,ponakan,gue,karena,ada,gue,sana",0
bizewe,2025-04-10T16:02:00.000Z,spent 3 hours in notion ngumpulin resep just in case tbtb #KaburAjaDulu,"spent, 3, hours, in, notion, ngumpulin, resep, just, in, case, tbtb, #, KaburAjaDulu","spent, 3, hours, in, notion, ngumpulin, resep, just, in, case, tbtb, #, KaburAjaDulu",spent 3 hours in notion ngumpulin resep just in case tbtb kaburajadulu,"spent,3,hours,in,notion,ngumpulin,resep,just,in,case,tbtb,kaburajadulu",1
DDiva2020,2025-04-08T07:04:44.000Z,"Sepulangnya dari #kaburajadulu resimen Yordania, orang ini belum pernah naik moda lain selain Helikopter & Pesawat kah?","Sepulangnya, dari, #, kaburajadulu, resimen, Yordania, ,, orang, ini, belum, pernah, naik, moda, lain, selain, Helikopter, &, Pesawat, kah, ?","Sepulangnya, #, kaburajadulu, resimen, Yordania, ,, orang, moda, Helikopter, &, Pesawat, kah, ?",pulang dari kaburajadulu resimen yordania orang ini belum pernah naik moda lain selain helikopter pesawat kah,"pulang,dari,kaburajadulu,resimen,yordania,orang,ini,belum,pernah,naik,moda,lain,selain,helikopter,pesawat,kah",1
emity,2025-04-04T20:03:53.000Z,masih mikirin orang indo yg mau kaburajadulu...  https://x.com/intinyadeh/sta/intinyadeh/status/1907823473986261482…,"masih, mikirin, orang, indo, yg, mau, kaburajadulu, ..., https, :, //x.com/intinyadeh/sta/intinyadeh/status/1907823473986261482…","mikirin, orang, indo, yg, kaburajadulu, ..., https, :, //x.com/intinyadeh/sta/intinyadeh/status/1907823473986261482…",masih mikirin orang indo yg mau kaburajadulu https x com intinyadeh sta intinyadeh status 1907823473986261482,"masih,mikirin,orang,indo,yg,mau,kaburajadulu,https,x,com,intinyadeh,sta,intinyadeh,status,1907823473986261482",1
Reffi_angel,2025-04-04T01:11:42.000Z,"Pakde: Kuliah jurusan apa? Me: Sastra Jepang Pakde: Mau jadi TKW ke Jepang?   Satu dekade kemudian, tren KaburAjaDulu ke Jepang naek, mendadak LPK menjamur Pakdeku cocok jadi cenayang. Aku? Ga jadi TKW ke Jepang sih, dari lulus bosku orang Jepang lol","Pakde, :, Kuliah, jurusan, apa, ?, Me, :, Sastra, Jepang, Pakde, :, Mau, jadi, TKW, ke, Jepang, ?, Satu, dekade, kemudian, ,, tren, KaburAjaDulu, ke, Jepang, naek, ,, mendadak, LPK, menjamur, Pakdeku, cocok, jadi, cenayang, ., Aku, ?, Ga, jadi, TKW, ke, Jepang, sih, ,, dari, lulus, bosku, orang, Jepang, lol","Pakde, :, Kuliah, jurusan, ?, Me, :, Sastra, Jepang, Pakde, :, TKW, Jepang, ?, dekade, ,, tren, KaburAjaDulu, Jepang, naek, ,, mendadak, LPK, menjamur, Pakdeku, cocok, cenayang, ., ?, Ga, TKW, Jepang, sih, ,, lulus, bosku, orang, Jepang, lol",pakde kuliah jurus apa me sastra jepang pakde mau jadi tkw ke jepang satu dekade kemudian tren kaburajadulu ke jepang naek dadak lpk jamur pakde cocok jadi cenayang aku ga jadi tkw ke jepang sih dari lulus bos orang jepang lol,"pakde,kuliah,jurus,apa,me,sastra,jepang,pakde,mau,jadi,tkw,ke,jepang,satu,dekade,kemudian,tren,kaburajadulu,ke,jepang,naek,dadak,lpk,jamur,pakde,cocok,jadi,cenayang,aku,ga,jadi,tkw,ke,jepang,sih,dari,lulus,bos,orang,jepang,lol",0
fallenforwishes,2025-04-05T10:05:51.000Z,ges yang mau tanya2 tapi malu ngereply atau ngetuk dm tanya sini aja: https://secreto.site/a8ak55  aku mendukung kelen yg mau #kaburajadulu ,"ges, yang, mau, tanya2, tapi, malu, ngereply, atau, ngetuk, dm, tanya, sini, aja, :, https, :, //secreto.site/a8ak55, aku, mendukung, kelen, yg, mau, #, kaburajadulu","ges, tanya2, malu, ngereply, ngetuk, dm, aja, :, https, :, //secreto.site/a8ak55, mendukung, kelen, yg, #, kaburajadulu",ges yang mau tanya2 tapi malu ngereply atau ngetuk dm tanya sini aja https secreto site a8ak55 aku dukung kelen yg mau kaburajadulu,"ges,yang,mau,tanya2,tapi,malu,ngereply,atau,ngetuk,dm,tanya,sini,aja,https,secreto,site,a8ak55,aku,dukung,kelen,yg,mau,kaburajadulu",0
Jeng_Lastri,2025-04-04T09:39:27.000Z,Ikutan trend #kaburajadulu selama si mbak belum balik kerja lagi….waktunya jalan jajan2,"Ikutan, trend, #, kaburajadulu, selama, si, mbak, belum, balik, kerja, lagi….waktunya, jalan, jajan2","Ikutan, trend, #, kaburajadulu, si, mbak, kerja, lagi….waktunya, jalan, jajan2",ikut trend kaburajadulu lama si mbak belum balik kerja lagi waktu jalan jajan2,"ikut,trend,kaburajadulu,lama,si,mbak,belum,balik,kerja,lagi,waktu,jalan,jajan2",0
Polusi_udara78,2025-04-09T22:12:46.000Z,#Asean #Smog #trending #southeastAsia #BakarSampah #KaburAjaDulu #IndonesiaGelap #AirPollution  @infoBMKG  @dinaslhdki  @DKIJakarta  @LBH_Jakarta  @pramonoanung   6:11 am bau asap bakaran sampah ini di jis tdk tercium. Di sunter agung temgah dan danau sunter selatan terasa  kacau,"#, Asean, #, Smog, #, trending, #, southeastAsia, #, BakarSampah, #, KaburAjaDulu, #, IndonesiaGelap, #, AirPollution, @, infoBMKG, @, dinaslhdki, @, DKIJakarta, @, LBH_Jakarta, @, pramonoanung, 6:11, am, bau, asap, bakaran, sampah, ini, di, jis, tdk, tercium, ., Di, sunter, agung, temgah, dan, danau, sunter, selatan, terasa, kacau","#, Asean, #, Smog, #, trending, #, southeastAsia, #, BakarSampah, #, KaburAjaDulu, #, IndonesiaGelap, #, AirPollution, @, infoBMKG, @, dinaslhdki, @, DKIJakarta, @, LBH_Jakarta, @, pramonoanung, 6:11, am, bau, asap, bakaran, sampah, jis, tdk, tercium, ., sunter, agung, temgah, danau, sunter, selatan, kacau",asean smog trending southeastasia bakarsampah kaburajadulu indonesiagelap airpollution infobmkg dinaslhdki dkijakarta lbh jakarta pramonoanung 6 11 am bau asap bakar sampah ini di jis tdk cium di sunter agung temgah dan danau sunter selatan asa kacau,"asean,smog,trending,southeastasia,bakarsampah,kaburajadulu,indonesiagelap,airpollution,infobmkg,dinaslhdki,dkijakarta,lbh,jakarta,pramonoanung,6,11,am,bau,asap,bakar,sampah,ini,di,jis,tdk,cium,di,sunter,agung,temgah,dan,danau,sunter,selatan,asa,kacau",1
DDiva2020,2025-04-08T07:04:44.000Z,"Sepulangnya dari #kaburajadulu resimen Yordania, orang ini belum pernah naik moda lain selain Helikopter & Pesawat kah?","Sepulangnya, dari, #, kaburajadulu, resimen, Yordania, ,, orang, ini, belum, pernah, naik, moda, lain, selain, Helikopter, &, Pesawat, kah, ?","Sepulangnya, #, kaburajadulu, resimen, Yordania, ,, orang, moda, Helikopter, &, Pesawat, kah, ?",pulang dari kaburajadulu resimen yordania orang ini belum pernah naik moda lain selain helikopter pesawat kah,"pulang,dari,kaburajadulu,resimen,yordania,orang,ini,belum,pernah,naik,moda,lain,selain,helikopter,pesawat,kah",1
emity,2025-04-04T20:03:53.000Z,masih mikirin orang indo yg mau kaburajadulu...  https://x.com/intinyadeh/sta/intinyadeh/status/1907823473986261482…,"masih, mikirin, orang, indo, yg, mau, kaburajadulu, ..., https, :, //x.com/intinyadeh/sta/intinyadeh/status/1907823473986261482…","mikirin, orang, indo, yg, kaburajadulu, ..., https, :, //x.com/intinyadeh/sta/intinyadeh/status/1907823473986261482…",masih mikirin orang indo yg mau kaburajadulu https x com intinyadeh sta intinyadeh status 1907823473986261482,"masih,mikirin,orang,indo,yg,mau,kaburajadulu,https,x,com,intinyadeh,sta,intinyadeh,status,1907823473986261482",1
